marka,ban növü,rəng,mühərrik,sürətlər qutusu,yeni,vəziyyəti,yürüş,yaş,qiymət
10,11,0,5,1,1,3,11450.0,1.0,20000
26,9,4,1,0,1,3,148888.0,13.0,28400
26,11,0,0,0,1,3,280000.0,13.0,21700
26,11,7,0,0,1,3,223055.0,10.0,23000
33,11,0,0,0,1,2,157484.0,9.0,26300
29,4,7,0,0,1,2,8600.0,12.0,117300
26,11,4,0,0,1,3,161262.0,11.0,19800
27,9,7,0,0,1,3,22250.0,5.0,81600
54,9,4,0,1,1,3,300000.0,25.0,14900
26,11,0,0,0,1,2,89000.0,9.0,18900
37,11,0,0,0,1,3,190000.0,11.0,32300
27,11,2,0,0,1,3,94776.0,6.0,39500
42,11,4,1,0,1,3,139200.0,9.0,41600
42,9,7,1,0,1,3,203000.0,9.0,45050
34,11,0,0,1,1,3,29746.0,18.0,4700
26,9,0,1,0,1,3,108000.0,16.0,21500
28,13,0,1,1,0,3,0.0,1.0,60500
9,9,7,4,0,0,3,0.0,1.0,56500
3,9,3,0,0,1,3,6500.0,1.0,220150
42,7,7,0,0,1,3,76400.0,16.0,39100
35,9,3,0,0,1,2,49000.0,3.0,130900
33,11,2,0,0,1,3,39200.0,4.0,41900
26,11,0,3,0,1,3,59000.0,3.0,40500
54,9,7,3,0,1,3,91733.0,4.0,59500
44,9,7,0,0,1,3,65953.0,4.0,42160
33,9,7,1,0,1,3,172061.0,10.0,32800
54,9,0,0,0,1,3,174000.0,15.0,33500
14,11,4,0,1,1,3,85655.0,17.0,7650
45,9,1,0,0,1,3,228000.0,16.0,19500
45,2,10,0,0,1,3,67093.0,9.0,14800
34,11,0,0,1,1,3,44000.0,21.0,5000
54,11,13,0,0,1,3,38000.0,7.0,44030
26,11,3,0,0,1,3,29000.0,3.0,45050
45,12,4,0,0,1,3,42426.0,11.0,15700
54,9,0,3,0,1,3,29500.0,2.0,104550
3,9,0,0,0,1,3,62000.0,8.0,61030
45,2,0,0,0,1,3,42462.0,9.0,14800
3,11,0,0,0,1,3,87000.0,12.0,43350
6,9,7,0,0,0,2,0.0,1.0,58900
45,2,4,0,0,1,3,20600.0,10.0,14200
30,9,6,0,0,1,3,163000.0,11.0,40970
26,12,7,0,1,1,3,242000.0,15.0,14000
18,9,2,3,0,1,2,4200.0,3.0,44030
18,11,13,4,0,1,3,311500.0,8.0,24900
3,9,7,4,0,0,3,0.0,1.0,226100
45,2,7,0,0,1,3,32562.0,9.0,14700
10,11,0,5,1,1,3,11450.0,1.0,20000
26,9,4,1,0,1,3,148888.0,13.0,28400
26,11,0,0,0,1,3,280000.0,13.0,21700
26,11,7,0,0,1,3,223055.0,10.0,23000
33,11,0,0,0,1,3,157484.0,9.0,26300
3,9,7,0,0,1,3,26000.0,3.0,180198
58,11,1,2,0,0,3,0.0,1.0,60350
27,9,0,0,0,1,3,280000.0,14.0,32130
54,9,7,3,0,0,3,0.0,1.0,88230
26,11,7,0,0,1,3,150000.0,11.0,5200
18,1,4,1,1,1,3,176500.0,16.0,17700
35,9,7,1,0,1,3,115000.0,7.0,74000
26,11,7,1,0,1,0,158550.0,9.0,33000
33,11,7,1,0,1,3,135000.0,8.0,29000
18,7,0,0,0,1,3,159000.0,9.0,22600
33,9,0,3,0,1,3,28000.0,3.0,72420
33,7,13,1,0,1,3,214200.0,9.0,38400
54,9,0,0,0,1,3,63546.0,6.0,133450
3,11,3,1,0,1,2,150000.0,8.0,42330
57,9,0,2,0,1,3,1350.0,2.0,58650
10,11,12,0,0,1,3,164000.0,10.0,15600
18,1,0,1,1,1,3,350460.0,24.0,17000
42,9,7,0,0,0,3,0.0,1.0,233750
26,11,0,0,0,1,3,176000.0,12.0,21600
45,9,1,0,0,1,3,228000.0,16.0,19500
45,2,10,0,0,1,3,67093.0,9.0,14800
34,11,0,0,1,1,2,44000.0,21.0,5000
54,11,13,0,0,1,3,38000.0,7.0,44030
26,11,3,0,0,1,3,29000.0,3.0,45050
45,12,4,0,0,1,3,42426.0,11.0,15700
54,9,0,3,0,1,2,29500.0,2.0,104550
3,9,0,0,0,1,3,62000.0,8.0,61030
45,2,0,0,0,1,3,42462.0,9.0,14800
3,11,0,0,0,1,3,87000.0,12.0,43350
6,9,7,0,0,0,3,0.0,1.0,58900
45,2,4,0,0,1,3,20600.0,10.0,14200
30,9,6,0,0,1,3,163000.0,11.0,40970
26,12,7,0,1,1,3,242000.0,15.0,14000
18,9,2,3,0,1,0,4200.0,3.0,44030
18,11,13,4,0,1,3,311500.0,8.0,24900
20,13,4,0,1,0,3,0.0,1.0,27500
21,9,0,0,0,0,3,0.0,1.0,47900
17,1,0,1,1,0,3,0.0,2.0,123500
41,11,2,0,0,0,3,0.0,1.0,49130
42,11,0,0,0,1,3,142000.0,5.0,53550
26,11,13,3,0,1,2,6100.0,2.0,51000
35,9,0,0,0,1,3,35000.0,4.0,132430
42,9,2,0,0,1,3,17500.0,2.0,217600
18,1,0,1,1,1,3,188604.0,15.0,18500
26,11,3,0,0,1,3,185000.0,11.0,19000
26,11,7,1,0,1,3,138000.0,8.0,25300
26,0,0,1,1,1,3,310000.0,11.0,68000
34,11,7,0,1,1,3,270000.0,15.0,8000
42,11,0,0,0,1,3,60500.0,9.0,53550
34,11,12,0,1,1,3,33432.0,24.0,3000
47,9,7,0,0,1,3,158000.0,12.0,47600
54,9,0,0,0,1,3,63546.0,6.0,133450
3,11,3,1,0,1,3,150000.0,8.0,42330
57,9,0,2,0,1,3,1350.0,2.0,58650
10,11,12,0,0,1,3,164000.0,10.0,15600
18,1,0,1,1,1,3,350460.0,24.0,17000
42,9,7,0,0,0,3,0.0,1.0,233750
26,11,0,0,0,1,3,176000.0,12.0,21600
45,9,1,0,0,1,3,228000.0,16.0,19500
45,2,10,0,0,1,3,67093.0,9.0,14800
34,11,0,0,1,1,3,44000.0,21.0,5000
54,11,13,0,0,1,3,38000.0,7.0,44030
